planet_name,default_flag,discovery_method,discovery_year,solution_type,pl_controv_flag,orbital_period_days,orbital_distance_au,planet_mass_earth,planet_mass_jupiter
EPIC 212737443 b,1,Transit,2019,Published Confirmed,0,13.603,0.098,,
EPIC 212737443 c,1,Transit,2019,Published Confirmed,0,65.55,0.28,,
EPIC 220674823 b,1,Transit,2016,Published Confirmed,0,0.57130782,0.0132,7.54,0.02372349
EPIC 220674823 c,1,Transit,2016,Published Confirmed,0,13.340603,0.1078,7.9,0.02485618
EPIC 229004835 b,1,Transit,2023,Published Confirmed,0,16.141132,0.1237,10.4,0.03272206
EPIC 246851721 b,1,Transit,2018,Published Confirmed,0,6.180235,0.07229,953.49,3.0
EPIC 248847494 b,1,Transit,2018,Published Confirmed,0,3650.0,4.5,4131.79,13.0
EPIC 249893012 b,1,Transit,2020,Published Confirmed,0,3.5951,0.047,8.75,0.02753044
EPIC 249893012 c,1,Transit,2020,Published Confirmed,0,15.624,0.13,14.67,0.04615675
EPIC 249893012 d,1,Transit,2020,Published Confirmed,0,35.747,0.22,10.18,0.0320297
G 192-15 b,1,Radial Velocity,2025,Published Confirmed,0,2.27476,0.01723,1.03,0.00324074
G 192-15 c,1,Radial Velocity,2025,Published Confirmed,0,1219.0,1.137,14.3,0.04499283
G 261-6 b,1,Radial Velocity,2025,Published Confirmed,0,5.4536,0.02971,1.37,0.0043105
G 264-012 b,1,Radial Velocity,2021,Published Confirmed,0,2.30538,0.02279,2.5,0.00786588
G 264-012 c,1,Radial Velocity,2021,Published Confirmed,0,8.0518,0.0525,3.75,0.01179882
G 268-110 b,1,Radial Velocity,2025,Published Confirmed,0,1.43263,0.01283,1.52,0.00478245
G 9-40 b,1,Transit,2019,Published Confirmed,0,5.7459982,0.0418,4.0,0.01258541
GJ 1002 b,1,Radial Velocity,2022,Published Confirmed,0,10.3465,0.0457,1.08,0.00339806
GJ 1002 c,1,Radial Velocity,2022,Published Confirmed,0,21.202,0.0738,1.36,0.00427904
GJ 1061 b,1,Radial Velocity,2020,Published Confirmed,0,3.2073,0.021,1.11,0.00349245
GJ 1061 c,1,Radial Velocity,2020,Published Confirmed,0,6.6821,0.0342,1.81,0.0056949
GJ 1061 d,1,Radial Velocity,2020,Published Confirmed,0,13.066,0.054,1.67,0.00525441
GJ 1132 b,1,Transit,2015,Published Confirmed,0,1.62892911,0.0157,1.83704819,0.00578
GJ 1137 c,1,Radial Velocity,2026,Published Confirmed,0,9.6412,0.0835,5.12,0.01610932
GJ 1148 b,1,Radial Velocity,2010,Published Confirmed,0,41.38,0.166,96.7,0.3042507
GJ 1148 c,1,Radial Velocity,2017,Published Confirmed,0,532.58,0.912,68.06,0.21413963
GJ 1151 c,1,Radial Velocity,2023,Published Confirmed,0,389.7,0.5714,10.62,0.03341426
GJ 1214 b,1,Transit,2009,Published Confirmed,0,1.580404531,0.01505,8.41,0.02646082
GJ 1265 b,1,Radial Velocity,2018,Published Confirmed,0,3.6511,0.026,7.4,0.02328289
GJ 1289 b,1,Radial Velocity,2024,Published Confirmed,0,111.74,0.27,6.27,0.01972763
GJ 143 b,1,Transit,2019,Published Confirmed,0,35.61253,0.1915,22.7,0.07142183
GJ 15 A b,1,Radial Velocity,2014,Published Confirmed,1,11.4407,0.072,3.03,0.0095334
GJ 15 A c,1,Radial Velocity,2018,Published Confirmed,0,7600.0,5.4,36.0,0.1132681
GJ 160.2 b,1,Radial Velocity,2014,Published Confirmed,0,5.2354,0.053,10.2,0.03209263
GJ 163 b,1,Radial Velocity,2013,Published Confirmed,0,8.63182,0.0607,10.6,0.03335116
GJ 163 c,1,Radial Velocity,2013,Published Confirmed,0,25.63058,0.1254,6.8,0.02139509
GJ 163 d,1,Radial Velocity,2013,Published Confirmed,0,603.95116,1.0304,29.4,0.09250228
GJ 179 b,1,Radial Velocity,2009,Published Confirmed,0,2288.0,2.41,260.61,0.82
GJ 180 b,1,Radial Velocity,2014,Published Confirmed,0,17.133,0.092,6.49,0.02041972
GJ 180 c,1,Radial Velocity,2014,Published Confirmed,0,24.329,0.129,6.4,0.02013655
GJ 180 d,1,Radial Velocity,2020,Published Confirmed,0,106.3,0.309,7.56,0.0237863
GJ 2030 b,1,Radial Velocity,2022,Published Confirmed,0,2.38129,0.034,4.76742611,0.015
GJ 2030 c,1,Radial Velocity,2022,Published Confirmed,0,25533.11353,16.761,4069.15709482,12.803
GJ 2056 b,1,Radial Velocity,2020,Published Confirmed,0,69.971,0.283,16.2,0.05097064
GJ 2126 b,1,Radial Velocity,2025,Published Confirmed,0,272.7,0.71,413.1769291,1.3
GJ 229 A c,1,Radial Velocity,2020,Published Confirmed,1,121.93268,0.384,8.58136699,0.027
GJ 229 b,1,Radial Velocity,2014,Published Confirmed,1,579.47495,1.086,14.93793513,0.047
GJ 238 b,1,Transit,2024,Published Confirmed,0,1.7446999,0.02123,,
GJ 251 b,1,Radial Velocity,2020,Published Confirmed,0,14.237,0.0808,3.85,0.01211345
GJ 251 c,1,Radial Velocity,2025,Published Confirmed,0,53.647,0.196,3.88,0.01220785
GJ 27.1 b,1,Radial Velocity,2014,Published Confirmed,0,15.819,0.101,13.0,0.04090237
GJ 273 b,1,Radial Velocity,2017,Published Confirmed,0,18.6498,0.091101,2.89,0.00909291
GJ 273 c,1,Radial Velocity,2017,Published Confirmed,0,4.7234,0.036467,1.18,0.00371268
GJ 3021 b,1,Radial Velocity,2000,Published Confirmed,0,133.71,0.49,1071.04,3.37
GJ 3082 b,1,Radial Velocity,2020,Published Confirmed,0,11.949,0.079,8.2,0.02579996
GJ 3090 b,1,Transit,2022,Published Confirmed,0,2.85310198,0.0316,4.52,0.01422151
GJ 3090 c,1,Radial Velocity,2026,Published Confirmed,0,15.9407,0.0997,10.0,0.03146352
GJ 3138 b,1,Radial Velocity,2017,Published Confirmed,0,1.22003,0.0197,1.78,0.00560048
GJ 3138 c,1,Radial Velocity,2017,Published Confirmed,0,5.974,0.057,4.18,0.01315168
GJ 3138 d,1,Radial Velocity,2017,Published Confirmed,0,257.8,0.698,10.5,0.03303653
GJ 317 b,1,Radial Velocity,2007,Published Confirmed,0,695.69,1.138,536.49435102,1.688
GJ 317 c,1,Radial Velocity,2016,Published Confirmed,0,6500.0,5.04,454.49462201,1.43
GJ 3222 b,1,Radial Velocity,2022,Published Confirmed,0,10.66669,0.091,11.44182265,0.036
GJ 328 b,1,Radial Velocity,2013,Published Confirmed,0,3771.0,4.11,797.74930157,2.51
GJ 328 c,1,Radial Velocity,2023,Published Confirmed,0,241.8,0.657,21.4,0.06733193
GJ 3293 b,1,Radial Velocity,2015,Published Confirmed,0,30.5987,0.14339,23.54,0.07406475
GJ 3293 c,1,Radial Velocity,2015,Published Confirmed,0,122.6196,0.36175,21.09,0.06635623
GJ 3293 d,1,Radial Velocity,2017,Published Confirmed,0,48.1345,0.19394,7.6,0.02391215
GJ 3293 e,1,Radial Velocity,2017,Published Confirmed,0,13.2543,0.08208,3.28,0.01031998
