planet_name,default_flag,discovery_method,discovery_year,solution_type,pl_controv_flag,orbital_period_days,orbital_distance_au,planet_radius_earth,planet_mass_earth,planet_mass_jupiter,sy_dist
HD 31527 d,1,Radial Velocity,2019,Published Confirmed,0,271.6737,0.8098,,11.82,0.0372,38.4473
HD 3167 b,1,Transit,2016,Published Confirmed,0,0.95965451,0.01814,1.601,4.844,0.01524093,47.2899
HD 3167 c,1,Transit,2016,Published Confirmed,0,29.846511,0.1794,2.983,11.41,0.03589987,47.2899
HD 3167 d,1,Radial Velocity,2017,Published Confirmed,0,8.3967,0.077,,7.3,0.02296837,47.2899
HD 3167 e,1,Radial Velocity,2022,Published Confirmed,0,91.9,0.3797,,14.9,0.04688064,47.2899
HD 32518 b,1,Radial Velocity,2009,Published Confirmed,0,157.35,0.594,,905.49313154,2.849,122.115
HD 32963 b,1,Radial Velocity,2015,Published Confirmed,0,2372.0,3.41,,222.481,0.7,38.0786
HD 330075 b,1,Radial Velocity,2004,Published Confirmed,0,3.38773,0.04,,152.5584,0.48,45.2989
HD 331093 b,1,Radial Velocity,2021,Published Confirmed,0,621.62,1.44,,476.7426105,1.5,50.1928
HD 33142 b,1,Radial Velocity,2011,Published Confirmed,0,330.0,1.074,,400.46379282,1.26,121.375
HD 33142 c,1,Radial Velocity,2016,Published Confirmed,0,810.2,1.955,,282.86728223,0.89,121.375
HD 33142 d,1,Radial Velocity,2022,Published Confirmed,0,89.9,0.452,,63.5656814,0.2,121.375
HD 332231 b,1,Transit,2020,Published Confirmed,0,18.712024,0.145,9.07303305,74.1,0.23314467,80.6665
HD 33283 b,1,Radial Velocity,2006,Published Confirmed,0,18.1991,0.1508,,104.56607,0.329,89.8623
HD 33564 b,1,Radial Velocity,2005,Published Confirmed,0,388.0,1.1,,2892.1,9.1,20.9531
HD 33844 b,1,Radial Velocity,2015,Published Confirmed,0,551.40002,1.6,,638.8383,2.01,105.779
HD 33844 c,1,Radial Velocity,2015,Published Confirmed,1,916.0,2.24,,556.2025,1.75,105.779
HD 34445 b,1,Radial Velocity,2009,Published Confirmed,0,1049.0,2.07,,260.6206,0.82,46.0907
HD 34445 c,1,Radial Velocity,2017,Published Confirmed,0,214.67,0.7181,,53.5,0.168,46.0907
HD 34445 d,1,Radial Velocity,2017,Published Confirmed,0,117.87,0.4817,,30.7,0.097,46.0907
HD 34445 e,1,Radial Velocity,2017,Published Confirmed,0,49.175,0.2687,,16.8,0.0529,46.0907
HD 34445 f,1,Radial Velocity,2017,Published Confirmed,0,676.8,1.543,,37.9,0.119,46.0907
